Country,Sewage Access,Sewage Access (%),No Sewage Access,No Sewage Access (%),Safely managed,Sum
Algeria,27332435,65.08,14666117,34.92,62.41009961,96.64284843
Benin,3289557,28.32,8327069,71.68,2.701275734,39.46043042
Burkina Faso,3600339,17.08,17473684,82.92,9.746474066,-
Cï¿½te d'Ivoire,9705118,36.54,16857392,63.46,17.24620633,64.18362479
Central African Republic,1095691,21.14,4086680,78.86,13.34691101,
Chad,2301594,13.7,14494918,86.3,10.91219476,16.98427529
DR Congo,17250192,19.04,73367589,80.96,13.0357748,33.40950314
Djibouti,84842,25.93,242379,74.07,39.60120548,73.97695877
Egypt,62827285,63.52,36076334,36.48,67.1721882,99.14594986
Ethiopia,17199318,14.98,97607543,85.02,7.219801714,17.0729396
Gambia,219637,8.75,2290713,91.25,27.98605759,59.40084875
Ghana,13703944,44.98,16764801,55.02,15.83410191,73.13274402
Guinea-Bissau,205066,10.42,1762783,89.58,15.44357478,45.58762134
Kenya,10903858,20.61,42008606,79.39,31.49890373,60.85906051
Lesotho,143179,7.65,1729647,92.35,47.51624599,71.7054656
Libya,3263469,57.67,2395637,42.33,23.83053967,99.25215755
Madagascar,4421018,19.7,18019454,80.3,12.32750829,36.66843109
Malawi,1141102,6.05,17731231,93.95,46.19080996,75.83218135
Mali,3135778,15.41,17210894,84.59,15.91964268,67.17197399
Niger,1402156,5.71,23156859,94.29,8.116053123,26.43900826
Nigeria,86511479,42.23,118369474,57.77,31.97157249,62.92076347
Sao Tome and Principe,92588,43.88,118428,56.12,34.00348868,53.51404954
Senegal,3740667,22.93,12569627,77.07,14.06160219,77.39318945
Sierra Leone,2433169,36.92,4157714,63.08,15.38745213,56.36584328
South Africa,31572307,64.26,17556144,35.74,71.70770386,91.41240429
Tanzania,7529815,13.36,48811410,86.64,25.1147946,49.4820139
Togo,1896016,21.54,6907217,78.46,5.756073739,46.5529295
Tunisia,6789860,69.74,2945994,30.26,81.12929504,98.9635248
Uganda,7316090,15.65,39419085,84.35,17.79607757,37.42421716
Zimbabwe,5008389,34.28,9603905,65.72,31.80642949,65.60038123