Country,Piped Water Access,Piped Water Access (%),No Piped Water Access,No Piped Water Access (%),Piped (JMP),Population,Sew Model,Sew JMP
Algeria,33079521,78.76,8919031,21.24,71.39,44903,65.08,96.64
Angola,10126396,31.22,22305938,68.78,43.09,   35 589,,
Benin,3536957,30.45,8079669,69.55,38.75,   13 353,28.32,39.46
Botswana,1593742,68.23,742210,31.77,91.19,    2 630,,
Burkina Faso,6071418,28.81,15002604,71.19,31.72,   22 674,,
Burundi,2141495,18.78,9262812,81.22,38.67,   12 890,,
Côte d'Ivoire,11629052,43.78,14933458,56.22,48.69,   28 161,13.7,64.18
Cabo Verde,418514,75.28,137463,24.72,89.98,593,,
Cameroon,15133460,57.46,11202663,42.54,41.8,   27 915,,
Central African Republic,1383550,26.7,3798821,73.3,13.8,    5 579,,
Chad,4322224,25.73,12474287,74.27,16.79,   17 723,,
Comoros,645338,73.08,237660,26.92,59.5,791,,
Congo,1614620,50.05,1611103,49.95,55.47,    5 836,,
DR Congo,23344432,25.76,67273349,74.24,35.73,   99 010,19.04,33.41
Djibouti,176686,54,150534,46,83.36,    1 121,25.93,73.98
Egypt,81810927,82.72,17092691,17.28,98.69,  110 990,63.52,99.15
Equatorial Guinea,220035,24.69,671069,75.31,40.78,    1 451,,
Eritrea,1192630,35.48,2168794,64.52,51.76,    3 365,,
eSwatini,543631,44.91,666857,55.09,61.86,    1 202,,
Ethiopia,27256293,23.74,87550568,76.26,44.07,  123 380,14.98,17.07
Gabon,1216592,61.85,750299,38.15,88.44,    2 389,,
Gambia,1399450,55.75,1110900,44.25,79.17,    2 706,8.75,59.4
Ghana,18367882,60.28,12100863,39.72,56.67,   33 476,44.98,73.13
Guinea,2427099,18.64,10592091,81.36,22.89,   13 859,,
Guinea-Bissau,369788,18.79,1598061,81.21,47.81,    2 106,10.42,45.59
Kenya,19321428,36.52,33591036,63.48,33.18,   54 027,20.61,60.86
Lesotho,1106717,59.09,766109,40.91,72.27,    2 306,7.65,71.71
Liberia,651529,13.45,4192644,86.55,5.5,    5 303,,
Libya,4492044,79.38,1167062,20.62,77.96,    6 812,57.67,99.25
Madagascar,6285714,28.01,16154759,71.99,36.19,   29 612,19.7,36.67
Malawi,3706217,19.64,15166116,80.36,20.6,   20 405,6.05,75.83
Mali,7425338,36.49,12921334,63.51,52.63,   22 594,15.41,67.17
Mauritania,2880680,59.86,1931711,40.14,61.27,    4 736,,
Mauritius,1285032,99.53,6058,0.47,99,    1 299,,
Mayotte,200841,73.53,72315,26.47,92.67,326,,
Mozambique,6102865,19.64,24963902,80.36,41.66,   32 970,,
Namibia,1654619,61.02,1057063,38.98,83.7,    2 567,,
Niger,7170209,29.2,17388807,70.8,41.18,   26 208,5.71,26.44
Nigeria,69943554,34.14,134937398,65.86,12.38,  218 541,42.23,62.92
Rwanda,3707565,30.57,8421930,69.43,45.49,   13 777,,
Sao Tome and Principe,181084,85.81,29933,14.19,96.82,227,43.88,53.51
Senegal,11405961,69.93,4904334,30.07,77.34,   17 316,22.93,77.39
Seychelles,95717,99.91,83,0.09,93.58,107,,
Sierra Leone,738337,11.2,5852546,88.8,20.68,    8 606,36.92,56.37
South Africa,36374983,74.04,12753468,25.96,90.45,   59 894,64.26,91.41
Tanzania,17247549,30.61,39093676,69.39,41.12,   65 498,15.65,37.42
Togo,3469107,39.41,5334126,60.59,30.38,    8 849,21.54,46.55
Tunisia,8400544,86.28,1335310,13.72,93.25,   12 356,69.74,98.96
Uganda,10462760,22.39,36272415,77.61,23.4,   47 250,15.65,37.42
Zambia,5123616,27.39,13585375,72.61,34.4,   20 018,,
Zimbabwe,5143667,35.2,9468627,64.8,26.93,   16 321,34.28,65.6