dataset,model,k,auroc,metric_type,checkpoint,source_file
PW-s,dino,5,0.8549838630591227,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/PW-s/checkpoint.pth/confusion/test_predictions_k5.csv
PW-s,dino,10,0.8651337649165457,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/PW-s/checkpoint.pth/confusion/test_predictions_k10.csv
PW-s,dino,20,0.8788253439674014,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/PW-s/checkpoint.pth/confusion/test_predictions_k20.csv
PW-s,dino,50,0.89913387070463,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/PW-s/checkpoint.pth/confusion/test_predictions_k50.csv
PW-s,dino,100,0.912907038105852,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/PW-s/checkpoint.pth/confusion/test_predictions_k100.csv
PW-s,dinov2,5,0.8428205043044774,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/PW-s/teacher_checkpoint.pth/confusion/test_predictions_k5.csv
PW-s,dinov2,10,0.8543465738286335,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/PW-s/teacher_checkpoint.pth/confusion/test_predictions_k10.csv
PW-s,dinov2,20,0.8651836073793528,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/PW-s/teacher_checkpoint.pth/confusion/test_predictions_k20.csv
PW-s,dinov2,50,0.8814596257599852,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/PW-s/teacher_checkpoint.pth/confusion/test_predictions_k50.csv
PW-s,dinov2,100,0.898157536814348,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/PW-s/teacher_checkpoint.pth/confusion/test_predictions_k100.csv
PW-s,dinov2,200,0.9153670900934096,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/PW-s/teacher_checkpoint.pth/confusion/test_predictions_k200.csv
PW-s,dinov3,5,0.8709600578541596,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/PW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k5.csv
PW-s,dinov3,10,0.882517885093702,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/PW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k10.csv
PW-s,dinov3,20,0.8931292851034291,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/PW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k20.csv
PW-s,dinov3,50,0.9022390951693452,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/PW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k50.csv
PW-s,dinov3,100,0.9013914776059494,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/PW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k100.csv
SW-s,dino,5,0.8578217058817754,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/SW-s/checkpoint.pth/confusion/test_predictions_k5.csv
SW-s,dino,10,0.8653510526480924,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/SW-s/checkpoint.pth/confusion/test_predictions_k10.csv
SW-s,dino,20,0.8793228158168388,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/SW-s/checkpoint.pth/confusion/test_predictions_k20.csv
SW-s,dino,50,0.9063466744315698,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/SW-s/checkpoint.pth/confusion/test_predictions_k50.csv
SW-s,dino,100,0.9309271258076524,auroc_signed_conf,checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dino-knn/SW-s/checkpoint.pth/confusion/test_predictions_k100.csv
SW-s,dinov2,5,0.8573773129827985,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/SW-s/teacher_checkpoint.pth/confusion/test_predictions_k5.csv
SW-s,dinov2,10,0.8659574922777846,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/SW-s/teacher_checkpoint.pth/confusion/test_predictions_k10.csv
SW-s,dinov2,20,0.8749206074403908,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/SW-s/teacher_checkpoint.pth/confusion/test_predictions_k20.csv
SW-s,dinov2,50,0.8932759030915328,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/SW-s/teacher_checkpoint.pth/confusion/test_predictions_k50.csv
SW-s,dinov2,100,0.9121593930462496,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/SW-s/teacher_checkpoint.pth/confusion/test_predictions_k100.csv
SW-s,dinov2,200,0.9323911158024957,auroc_signed_conf,teacher_checkpoint.pth,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov2-knn/SW-s/teacher_checkpoint.pth/confusion/test_predictions_k200.csv
SW-s,dinov3,5,0.8809261613311238,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/SW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k5.csv
SW-s,dinov3,10,0.891678347104404,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/SW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k10.csv
SW-s,dinov3,20,0.9023850170558937,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/SW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k20.csv
SW-s,dinov3,50,0.9176501259075417,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/SW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k50.csv
SW-s,dinov3,100,0.9189502749518482,auroc_signed_conf,dinov3-vitl16-pretrain-sat493m,/home/mila/e/echchabo/scratch/SDG6-Tracker-runs/dinov3-knn/SW-s/dinov3-vitl16-pretrain-sat493m/confusion/test_predictions_k100.csv
